rank,2013,2014
1,1357693,2727700
2,1124645,971243
3,66824,52835
4,321128,1124645
5,792536,66824
6,36988,2685102
7,2727700,3310737
8,2432320,676432
9,676432,90037
10,192151,38661
11,151199,3317315
12,1602787,1296614
13,1296614,1376377
14,971243,182738
15,3042765,784074
16,1314996,151199
17,38661,1178339
18,21742,1602787
19,292681,2727700
20,2734037,3042765
21,1065010,1615988
22,1567405,3750880
23,2743995,1103159
24,3317315,2184482
25,1103159,232956
26,2821897,1357693
27,1642600,1315018
28,1315018,192151
29,124541,357753
30,232956,2460478
31,1289,2563389
32,1778977,1235958
33,1615988,3747648
34,160061,1181524
35,38905,1314996
36,1871196,29735
37,52835,1345479
38,15687,3770145
39,1181524,20991
40,268072,255680
41,1235958,5530
42,1843773,1106902
43,1011680,21742
44,3310737,2736262
45,1123409,1626845
46,2523290,2690296
47,201543,321128
48,819015,372367
49,257663,1642600
50,313771,222578
51,357753,87582
52,35646,21991
53,2445772,35301
54,2184482,257663
55,750828,15885
56,219986,614963
57,20991,1314995
58,2201096,293744
59,1798617,1333451
60,1333451,288409
61,318185,320518
62,489619,1181588
63,1991984,3255888
64,1868970,3506702
65,1484583,376312
66,221673,2445772
67,885103,2353545
68,2690296,829795
69,614963,3062379
70,1626845,609563
71,222578,1024681
72,1314995,3329552
73,784074,51984
74,180140,219986
75,2899046,132084
76,2409771,1484583
77,829795,191200
78,2725,3306137
79,90037,137418
80,1024624,15687
81,2687693,3003250
82,11012,2523290
83,77855,2330068
84,1801598,3094075
85,273338,3601005
86,125992,120307
87,313755,268072
88,1990571,7118
89,932352,391170
90,33534,3588219
91,1003,17961
92,51984,2947730
93,15885,57103
94,2171152,21764
95,35301,542243
96,2690348,3242799
97,2183693,201543
98,36527,1087831
99,2010943,77855
100,137880,2482309